"Table S1 List of all DE genes in all pairwise age comparisons, as well as in the main LRT. In the pairwise tests, only genes that were also significant in the LRT were kept. In all tests, q-values represent FDR-corrected p-values.",,,,,,,,,
,,,,,,,,,
,,LRT,,20d vs. 5d,,30d vs. 5d,,40d vs. 5d,
Gene,Mean,p-value,q-value,log2 FC,q-value,log2 FC,q-value,log2 FC,q-value
Rab10,2101.072499,0.006264381,0.025529305,0.404201455,0.053156758,0.386035184,0.043563619,0.459976593,0.013748893
mgr,607.9021242,0.006269526,0.025530473,0.51524805,0.08419882,0.335241415,0.261574294,-0.108863095,0.782897204
CG16833,1281.480168,0.00627312,0.025530646,-0.14064836,0.632354439,-0.19661829,0.39515949,0.272670316,0.208467949
alphaTub84B,14545.14621,0.006274281,0.025530646,-0.384709584,0.061048164,-0.201511721,0.353380371,-0.442157684,0.01561184
par-1,8884.078518,0.0062955,0.025607372,0.153357217,0.45038442,0.033106539,0.890346284,0.35351656,0.015917161
Rpt4,1006.34321,0.006299122,0.02561249,-0.015141029,0.977061061,0.576440386,0.02666283,0.311805518,0.307663297
CG42370,355.2009758,0.006302999,0.02561864,0.37638659,0.714710191,1.596457299,0.011514666,0.962066362,0.179091372
CG14434,57.22362102,0.006317228,0.025666846,-1.346480977,0.01059287,-0.524227731,0.359414237,-0.329800707,0.61351346
CG11137,858.9386455,0.00633192,0.025716897,0.157674584,0.681120383,-0.177121137,0.579064357,-0.482099691,0.060297603
Trissin,685.8084355,0.006339001,0.025733261,-0.188374764,0.694749536,-0.779930546,0.008624041,-0.422972082,0.218220317
e(y)2,94.50222351,0.006340698,0.025733261,0.602873809,0.225665605,0.406985875,0.40426055,-0.464497977,0.361952651
holn1,169.7804679,0.006346481,0.025747085,0.434388611,0.126898183,0.112996473,0.746088793,-0.23550395,0.460402156
CG13722,8.223372811,0.006356578,0.025758177,-5.775678568,0.020275451,-1.770111669,NA,-3.089921389,0.140198217
CG42671,3235.485756,0.00636055,0.025758177,0.148925654,0.485273531,-0.007059742,0.978337104,0.343508867,0.024039189
CG43341,58.69605757,0.006352413,0.025758177,-0.771922109,0.17917335,-0.902802019,0.068235474,-1.186707441,0.015772723
skd,3776.73526,0.006357671,0.025758177,-0.105671522,0.82475252,-0.285608519,0.377749091,0.405359448,0.179867928
wol,371.7858829,0.0063611,0.025758177,-0.179819474,0.729964893,0.608892161,0.065050712,0.350661341,0.365037811
CG5897,63.73800194,0.00636609,0.025768754,0.905210727,0.313263353,1.150453526,0.118408634,1.865040602,0.005282602
SIDL,604.527246,0.006371916,0.025782702,-0.473805841,0.073548721,-0.012369622,0.975990563,0.135058194,0.67964883
Sirt4,262.0593395,0.006396151,0.025871105,-0.384184992,0.2390588,-0.465761825,0.090734719,-0.689328521,0.008755296
CG16824,16.10669553,0.006409821,0.025916724,0.477426694,0.798411851,-0.12942984,0.945570977,2.239552206,0.03872519
Bin1,582.1558634,0.00643245,0.025995359,1.533205128,0.045520003,1.743182682,0.010798183,1.736173475,0.011129451
CG10126,622.4787492,0.006434067,0.025995359,0.953976186,0.019212322,0.789347563,0.042550474,0.86217652,0.025729892
Bdbt,233.6853116,0.006450139,0.026025781,-0.028127884,0.955579554,-0.05152088,0.90280132,-0.625294831,0.016774861
CG18812,5688.91434,0.006447366,0.026025781,0.04393624,0.8806369,-0.087736121,0.688988192,0.309749176,0.059609202
CG34310,48.65010441,0.006451581,0.026025781,-0.213761934,0.751230431,-0.61336535,0.179279231,-1.105076676,0.011516947
CG5660,170.2831575,0.006453606,0.026025781,-0.781643576,0.016845559,-0.216809475,0.581542509,-0.086075766,0.858155353
Sur,210.7474458,0.006446807,0.026025781,0.217213887,0.716256479,0.375903916,0.399585226,0.931403819,0.010509568
snoRNA:Psi28S-3186,25.27263986,0.006469259,0.026079199,-0.687534397,0.647829126,0.554335705,0.66111536,1.706206019,0.076442363
CG33181,2626.727028,0.006472371,0.026082042,-0.37225447,0.354911656,-0.271874947,0.471741189,0.36706519,0.307296314
CG7911,642.3052206,0.006490535,0.026145517,0.510430912,0.147454741,0.57505655,0.060426163,-0.044704414,0.930181769
CG6428,373.9731861,0.006498426,0.026167576,-0.373991003,0.307697236,0.093022964,0.830528233,0.395501982,0.218046424
dmrt99B,65.67279576,0.0065097,0.026203236,-0.384663128,0.583175158,-0.703325691,0.174270993,-1.284369236,0.007841138
RabX4,576.5182023,0.006555707,0.026378628,-0.541470777,0.1244655,-0.762740697,0.010330596,-0.502168136,0.126592396
CG14439,393.6105434,0.006571882,0.026424086,-0.403805662,0.603472794,0.310516917,0.657952206,0.921477241,0.092025589
wit,1226.218033,0.006571694,0.026424086,-0.43782835,0.018531568,-0.289688087,0.117783249,-0.121691342,0.603950902
CG8924,487.6182137,0.006577972,0.026438765,-0.496260783,0.157007685,-0.76970798,0.007950315,-0.420953498,0.20754383
CG34054,193.4919973,0.006583886,0.026452722,2.075347518,0.013516947,2.011732461,0.01066307,1.69210085,0.039138624
Drp1,1612.779972,0.006589763,0.026466519,-0.393229891,0.02991216,-0.133669979,0.526027375,-0.337860062,0.05144506
Prosbeta1,763.9071629,0.006592314,0.026466955,-0.019138602,0.973030114,0.608774893,0.026528922,0.155997673,0.687439518
CG43800,33.36895756,0.006621767,0.026575359,0.112163477,0.942634229,0.195714968,0.876642605,1.677967971,0.031251207
CG11658,1173.735603,0.006634941,0.02661837,-0.163561491,0.622654382,0.023893883,0.949026447,0.393302591,0.088160433
DCP2,3840.856514,0.006673354,0.026752671,0.348558508,0.027301543,0.041754272,0.857904872,0.199557762,0.234882543
mir-281-2,90.64920843,0.00667309,0.026752671,0.094524795,0.905570611,0.270611475,0.627728198,0.975764358,0.017926609
TBCB,412.0935624,0.006676719,0.026756259,0.560847089,0.038124694,0.00887272,0.982196098,0.112595888,0.75813106
CG14949,19.37115987,0.006722181,0.026928485,3.146092987,0.076510123,4.325213378,0.00403697,4.093864328,0.007193479
CG9004,233.8551406,0.006736051,0.026974076,-0.633769247,0.013516947,-0.294126826,0.285092712,-0.401649867,0.130596785
roq,1448.049595,0.006764448,0.027077783,-5.26E-05,0.999647795,-0.134501369,0.487426093,0.269927435,0.106603839
CG2017,1381.716516,0.006772291,0.027082056,-0.482718962,0.013600347,-0.32253644,0.098074343,-0.246706999,0.24967638
Sec16,4257.593918,0.006772979,0.027082056,0.061055561,0.837816506,0.23565778,0.205287324,0.403046919,0.015884589
Trl,404.8074423,0.006773013,0.027082056,0.496244335,0.153258208,0.183197233,0.644722096,0.717698874,0.013531637
CG17816,4585.227766,0.006793924,0.027155647,-0.264507937,0.484740854,-0.499182467,0.072746944,0.168760075,0.645139779
CG5466,979.3341426,0.00680111,0.027174346,-0.344589046,0.211109105,-0.546419193,0.014796989,-0.087900801,0.796400212
CG15412,117.216351,0.006822813,0.027250153,-0.704376378,0.105343395,0.29452831,0.519037619,-0.162458753,0.765892752
rudhira,6605.640501,0.006825112,0.027250153,0.040052683,0.92866284,-0.049567988,0.896140093,0.480154689,0.041984097
CG8195,651.0428202,0.006832269,0.02726868,-0.677756193,0.021827615,-0.382393893,0.212219757,-0.097868533,0.816108715
cdc14,1738.290478,0.006845868,0.027312898,-0.077246646,0.81108488,-0.30653276,0.124414756,0.189823404,0.407407171
CG9265,335.9857944,0.006851369,0.027324781,-0.523300291,0.066435383,-0.411447303,0.125658014,0.017254585,0.970087866
Eip55E,824.944566,0.006862643,0.027359677,0.138014803,0.856775994,0.963826187,0.021789444,0.149451677,0.816923883
ari-1,2952.477886,0.006882458,0.027428584,0.032513627,0.900663933,-0.303068314,0.028028551,-0.05785468,0.777127987
Cda5,336.5537204,0.006889896,0.027448129,-1.129744588,0.033636982,-0.942412488,0.060496812,-0.913739683,0.075829955
CG13298,778.3235639,0.006898473,0.027462105,0.324227853,0.205504289,0.232393444,0.350994382,-0.195818353,0.467253045
sowah,873.9824203,0.00689828,0.027462105,0.167041914,0.554222599,0.346458084,0.08428558,0.482495467,0.01115245
CG9667,101.7505018,0.006934444,0.027595167,0.43768835,0.353539426,-0.049115154,0.936068757,-0.576748746,0.169363007
CG5180,285.1514775,0.006940267,0.027608197,-0.130195842,0.716227775,-0.146961962,0.620325695,-0.588268992,0.008933986
CG1764,800.3414375,0.00694916,0.02763343,-0.28029751,0.523310958,0.00279887,0.995028749,-0.721569621,0.017932927
CG14545,7.07948109,0.006960099,0.027666776,-6.06783013,0.010399677,-0.640705324,NA,-1.807627952,0.407938212
Aats-ser,323.3181969,0.007032614,0.027944777,-0.457358466,0.153258208,-0.249437637,0.44774447,-0.692755113,0.009990624
NDUFA8,487.3344315,0.007050957,0.028007393,-0.231639295,0.528308475,-0.117861545,0.743058089,-0.655717074,0.009193179
mago,395.2911048,0.007060036,0.028033181,0.330109325,0.132420899,0.153547953,0.512434597,-0.158871029,0.517222383
snRNA:U4atac:82E,457.9011836,0.007064232,0.028039568,0.96494706,0.272393838,-0.440430487,0.640785158,-0.703809695,0.414397799
CG4497,298.2082617,0.007081027,0.02809594,-0.387115409,0.328397089,-0.754668917,0.012990257,-0.604879262,0.059609202
Prosalpha2,859.7582048,0.007098329,0.028146185,0.243998381,0.570951701,0.724046323,0.011262471,0.1876822,0.635464703
mal,299.7773011,0.007098886,0.028146185,0.202975301,0.776854743,1.030791215,0.014155433,0.619519776,0.196367551
CG34253,49.18061125,0.007116506,0.028205728,1.178484155,0.133918207,1.331492526,0.050510198,-0.051815251,0.967485984
didum,1646.604604,0.007119884,0.028208798,-0.050544578,0.8994337,-0.00751519,0.982196098,0.424914389,0.049781831
snoRNA:Or-aca4,61.28029685,0.007126245,0.02822368,0.38886586,0.679854434,0.268260719,0.754010524,-1.210137761,0.067717725
Cyp313a4,41.64117949,0.007173802,0.028391278,2.002447293,0.254292596,2.570442954,0.077650972,3.901949658,0.003565559
Unc-13-4B,301.789747,0.007171973,0.028391278,0.803451631,0.190020121,1.049651749,0.042031067,1.335905314,0.007047615
sdt,4806.558122,0.007185025,0.028425311,0.068926277,0.853588897,-0.046668595,0.889115099,0.43388739,0.039172351
smid,1003.492441,0.007191826,0.028441836,-0.063866882,0.856479445,-0.004979641,0.986930812,-0.45873939,0.01970011
CG16904,10.16249265,0.007213671,0.028517817,-4.11854963,0.299269723,3.257183418,NA,-2.319154848,0.556514714
O-fut2,170.7705994,0.007218423,0.028526196,-0.207616374,0.7895986,0.847323924,0.071675,-0.059327469,0.940223784
CG13890,417.2021155,0.007223463,0.028535707,0.260367701,0.271742265,0.123372409,0.623157949,-0.241972953,0.280825033
mRpL14,213.1064754,0.007240306,0.02859182,0.024790322,0.969695364,-0.145629551,0.74472192,-0.756582334,0.018663811
Zif,517.7979086,0.007258405,0.02865285,-0.035786827,0.922411316,-0.438988372,0.021789444,-0.291320657,0.174888171
CR31451,39407.83878,0.007262819,0.028657225,0.198133027,0.713641578,-0.548018123,0.127868883,-0.479932587,0.206506418
Elp1,545.9247833,0.007266465,0.028657225,0.169066377,0.570951701,0.511385382,0.009133654,0.174531085,0.498151633
l(2)06496,506.9808821,0.007267447,0.028657225,0.475980254,0.095167215,0.237563895,0.432729377,-0.141583957,0.690756433
CG8617,500.1497478,0.00727287,0.028668177,-0.129012871,0.734331399,-0.318899109,0.225970959,-0.601296209,0.01044087
Mad,1390.907217,0.007282869,0.028697151,0.159408837,0.50669821,0.294992598,0.092605802,0.424112819,0.010207134
Eip63E,2604.730352,0.007289689,0.028697715,-0.225549185,0.397143012,-0.441489971,0.02666283,0.020682803,0.952922698
Syb,1579.158909,0.007290957,0.028697715,0.762484867,0.065781456,0.948405001,0.008711638,0.701392346,0.069751583
unc-104,20525.71082,0.007287214,0.028697715,-0.425099874,0.323960908,-0.712795815,0.034614542,0.05935718,0.91770994
RpII18,415.5550101,0.007296605,0.028709517,0.297479113,0.322138176,0.112213166,0.735442011,-0.325694522,0.227399777
CG5071,215.9465982,0.007315414,0.028763828,-0.572359354,0.236373685,-0.813799162,0.040522994,0.058282229,0.929539582
ytr,3633.914612,0.007315717,0.028763828,0.398134294,0.052695651,0.225756575,0.289750159,-0.021800954,0.94534208
Nup205,507.0013587,0.007320152,0.028770825,0.069906332,0.907858912,0.742196284,0.018414381,0.37302749,0.319645547
p38a,280.630044,0.00733622,0.028823524,0.765923845,0.133918207,0.991800487,0.021979926,1.079896063,0.011763925
CG1236,296.953726,0.007339003,0.028824007,-0.179135221,0.761218507,0.280070522,0.532996358,-0.666645305,0.079609899
CG17724,170.2675095,0.007345144,0.028837674,0.715659617,0.27869043,-0.241165879,0.748312801,0.964925162,0.080463939
CG3982,58.79667936,0.007354896,0.028855053,-1.407647073,0.029136465,-0.281707522,0.727674728,0.097477912,0.921630277
shrb,2046.458093,0.007353713,0.028855053,0.419778695,0.023830667,0.294218263,0.108521289,0.108053721,0.651543749
CG6543,2851.310075,0.007380172,0.028938214,0.319055397,0.593468787,0.477080153,0.301946035,-0.530479277,0.249149693
Send2,5.570918807,0.007381434,0.028938214,-2.171568147,0.681120383,4.435769774,NA,-2.020235885,NA
Src42A,2638.222053,0.007386399,0.028939395,0.077123886,0.666135403,-0.074030235,0.629934903,0.21673806,0.0712426
betaCOP,1420.165197,0.007387077,0.028939395,-0.106263746,0.803014101,0.452276323,0.080191515,0.353299829,0.208150599
CG43085,10.76278086,0.007435925,0.029120233,-0.534404144,0.83845072,1.047865644,0.54660951,2.680847964,0.049961162
Ir68a,77.86413273,0.007469395,0.029240739,-0.712792888,0.223641993,-1.261547936,0.007787659,-0.5037214,0.384433599
rasp,61.88735935,0.007477148,0.029260518,0.268881784,0.696798006,0.942070794,0.025158636,0.877490126,0.045258747
CG14257,15.44871186,0.007481846,0.029268333,1.319565925,0.330641649,-1.121841612,0.403675014,-1.058644989,0.459369697
CG3651,874.7905839,0.007525987,0.029430384,-0.019282612,0.954803996,0.067264686,0.790135187,0.376240011,0.030501777
CG4041,495.4857769,0.007531334,0.029436286,-0.076928507,0.907133911,0.726926523,0.037071409,0.339516994,0.42696874
Tak1,1330.789573,0.007532929,0.029436286,0.141396073,0.438437956,0.091568782,0.599642664,0.339163849,0.009530627
CG2100,186.2224267,0.007542617,0.0294529,0.000897222,0.998946751,-0.045700329,0.915698387,-0.617305765,0.020579165
pen-2,176.2565076,0.007542113,0.0294529,0.581733947,0.070472951,-0.125493317,0.764061531,0.192674996,0.624750084
MtnD,71.93553271,0.007546973,0.029459293,2.552758091,0.139001628,4.039739071,0.004301195,3.850295391,0.006841223
CG8272,392.7172393,0.007589427,0.029614344,-0.398200029,0.096286967,0.073044321,0.811392697,0.109404748,0.712743288
Pten,899.3409585,0.007627699,0.029752969,0.020829657,0.953258395,-0.291900226,0.123128134,0.176769274,0.418243924
CG1827,321.9562273,0.00764557,0.029792916,0.591930774,0.199899253,0.965485141,0.009696437,0.323826131,0.508146261
CG5493,704.8123309,0.007646189,0.029792916,0.88854018,0.215798327,0.74381682,0.267495908,-0.502710128,0.50395894
CG8891,159.9751975,0.007644296,0.029792916,0.24952721,0.551738636,-0.007249655,0.9872102,-0.541689177,0.087706973
Rheb,1585.479105,0.007671576,0.029881092,0.129031524,0.650539849,-0.028204197,0.927925475,-0.350459103,0.071617211
CG13641,644.3723091,0.007683006,0.029904734,3.36836339,0.010684909,3.489184041,0.004456419,2.45775947,0.06252077
Cht6,134.3175666,0.007685925,0.029904734,-0.855734283,0.119330686,-1.125899072,0.016246689,-0.823978488,0.104244329
Nep2,397.1354187,0.007685093,0.029904734,-1.057712671,0.052342276,-0.87830179,0.086361892,-0.110922263,0.890958447
CG2076,2280.760588,0.007700672,0.029951359,0.130628823,0.729964893,0.573744985,0.013470814,0.165992471,0.597433597
Dyrk2,2806.254636,0.007708956,0.029972819,-0.340232494,0.125655027,-0.481406692,0.010025825,-0.233521149,0.29277005
CG1738,119.7456056,0.007721616,0.029989762,0.60553614,0.120297226,-0.250713518,0.573068485,0.041997573,0.943543804
CG7433,8981.190632,0.007718948,0.029989762,-0.206592095,0.642450755,-0.56400963,0.058104102,-0.668435759,0.021277311
Cad99C,262.1248374,0.007717185,0.029989762,-0.01408382,0.992447117,1.313549384,0.075535216,-0.306433307,0.77363796
rk,129.6636172,0.007727349,0.030001275,-0.458048763,0.427603452,-0.204752062,0.7313671,0.593596985,0.205854032
sdk,1185.31322,0.007743358,0.030052662,0.087970586,0.847749487,0.279465752,0.358546521,0.615985067,0.016012531
mRpS10,235.2809556,0.007746195,0.030052909,-0.395551332,0.302047305,-0.522145521,0.096748548,-0.769160501,0.010291769
CG32669,183.4004426,0.007749645,0.030055533,-0.249417774,0.739023139,0.449714893,0.414359923,0.863933979,0.070376102
Cyp311a1,209.9632884,0.007781934,0.030169961,1.203053292,0.034094555,1.256430584,0.014884822,1.136440391,0.03283281
Dbp21E2,143.6256767,0.00779331,0.030203258,-0.481259081,0.331287396,0.147269837,0.791135704,-0.757969847,0.061037461
CG44249,48.76328367,0.007801491,0.030224153,0.903232597,0.040175606,0.005402076,0.99347974,0.487410802,0.316219596
Lsd-2,8989.018214,0.007809483,0.030244302,1.001826129,0.043842926,0.465581225,0.389340151,0.010515181,0.98803384
CG6138,10.98019198,0.007834307,0.030322123,-0.911640275,0.526298113,0.197092951,0.892397911,1.464350634,0.111733116
Grip75,279.7598048,0.007835174,0.030322123,-0.361467434,0.114343294,-0.101709461,0.706546087,0.1604019,0.518323216
kermit,279.5682286,0.007844828,0.030348646,0.258825333,0.812582865,1.287178124,0.043807963,1.322499608,0.039905519
CG13749,31.70054918,0.007849774,0.030356943,3.02097842,0.051804524,3.438742001,0.012446805,3.968759411,0.002845504
Cdk7,225.6747374,0.007854823,0.030365632,0.215203385,0.550121293,0.19798262,0.522738207,-0.394721814,0.160823948
PsGEF,3172.008583,0.00787288,0.030424581,-0.434989266,0.218908228,-0.482039811,0.117102055,0.140553167,0.736869781
CG12262,4459.088589,0.007880578,0.030443473,0.866249551,0.147486747,0.683779475,0.228073118,-0.292950718,0.679917134
Ppt2,654.213662,0.007884139,0.030446375,0.635798209,0.043201615,0.574509165,0.048557186,0.171446507,0.668096968
alpha-Man-IIb,1759.658324,0.007909275,0.030532564,-0.45379117,0.241919474,-0.755940572,0.014629359,-0.125945847,0.787397584
CG9384,2281.737,0.007938179,0.030633229,0.103031891,0.791649638,-0.074886141,0.833765095,0.474159691,0.045793959
dome,1114.970511,0.007944726,0.03064758,-0.257980561,0.556401905,0.155520333,0.710937489,0.50864411,0.114879641
Galt,1193.052001,0.007962387,0.030704779,0.130471756,0.88135144,0.028646994,0.972368257,-1.0302981,0.033237845
CG31183,717.9065172,0.007980729,0.030742688,0.228945515,0.717238384,0.825945479,0.039134649,-0.088960083,0.892465621
Vrp1,2065.783349,0.007977299,0.030742688,-0.024702703,0.93318006,-0.159685473,0.380640629,0.23380713,0.166732288
fs(1)Ya,10.90388625,0.007978651,0.030742688,-6.380061742,0.025434403,0.355619578,0.922580144,-2.996472282,0.263931371
CG5084,9.849695647,0.00799229,0.03077628,3.698851576,0.313808236,7.228086224,NA,3.962962927,0.220593267
sli,3278.551416,0.008004411,0.030812008,-0.365374893,0.407634721,-0.361130929,0.350505028,0.360566591,0.358357987
CG42255,193.5870803,0.008033088,0.030911416,1.282440918,0.290122922,2.086208996,0.029452036,2.497299688,0.007209256
pUf68,3073.815334,0.008052056,0.030973406,-0.095408192,0.783246121,-0.332929275,0.130933188,0.201886449,0.427646783
CG31370,57.23716807,0.008092844,0.031119256,1.002205933,0.14729745,0.943045221,0.130915006,1.541699683,0.006338772
Nup44A,488.3606046,0.00810448,0.031152944,-0.032041862,0.967210678,-0.105942212,0.859530633,-0.897424053,0.017657557
CG15890,461.0393047,0.008138728,0.031273496,-0.462437559,0.020274616,-0.337389556,0.080127055,-0.293515628,0.154962021
NijA,188.8028387,0.008171631,0.031388795,0.967675508,0.074778865,0.492051092,0.396345206,-0.173424944,0.816779103
CG30007,514.1385986,0.008182092,0.031417842,-0.06171584,0.869949097,-0.235068084,0.334534215,0.299874495,0.195991678
CG14817,242.968106,0.008213294,0.031515317,0.080279495,0.843099279,-0.079607303,0.817198967,-0.510270813,0.033949683
fs(1)M3,27.84072453,0.008211245,0.031515317,-2.65242174,0.019768694,-1.603891497,0.144980432,-0.538503379,0.708782138
Ppn,20211.44574,0.008220635,0.031521159,0.468323326,0.14729745,0.683588712,0.011215364,0.572818547,0.040962966
Ski6,94.36006052,0.008219729,0.031521159,0.879247552,0.065704842,0.402425063,0.441201455,-0.143057052,0.833463811
Idgf3,6151.579624,0.008225233,0.031527635,0.359334354,0.331829741,0.746109865,0.007725648,0.462762622,0.139385044
Yp2,149347.7832,0.008252726,0.031613644,0.150316481,0.941985557,0.350600961,0.827154178,-2.476145185,0.018093185
prominin-like,2493.137714,0.008253507,0.031613644,-0.473309381,0.0951422,-0.49313015,0.051240936,-0.051506191,0.900942609
CG14448,6.013043391,0.008269631,0.031664212,-2.319251164,0.297319386,0.725542591,NA,1.650152947,0.220789582
snoRNA:Psi28S-2626,35.66708946,0.008283711,0.03170692,1.150929628,0.110996402,1.310065731,0.036557148,0.125351858,0.909510151
Pi3K21B,1267.964554,0.008295313,0.031740119,-0.054843943,0.847283459,-0.02273315,0.933194479,0.310600694,0.06206093
Rgk3,459.7236511,0.008298684,0.031741808,-0.390156283,0.325356845,-0.627490054,0.04499929,0.080511565,0.870602883
CG30197,3311.885041,0.008302142,0.03174383,0.895159111,0.037992851,0.952589544,0.014625082,0.584069296,0.18458101
CG30203,169.1128126,0.008335969,0.031861926,0.850478827,0.110225539,0.514026315,0.344213823,1.167223963,0.009694667
CG18003,911.8077853,0.008357157,0.031931646,-0.152840616,0.88135144,-0.213382568,0.795952858,-1.393538731,0.011096613
slik,4350.632981,0.00836307,0.031942978,0.162802786,0.423449406,0.13386719,0.467251951,0.383539127,0.009102247
PGRP-LF,230.9122471,0.008368991,0.031943073,1.495315732,0.056454124,1.812342082,0.008486317,1.579890935,0.026033556
raptor,1244.834852,0.0083674,0.031943073,-0.213930998,0.422618665,0.041738372,0.897217775,0.299076729,0.16910681
CR45046,312.0051331,0.00839353,0.032025456,1.244875995,0.204932184,1.940213927,0.015304364,2.023211637,0.011047279
AP-2alpha,4677.690959,0.008402026,0.032046587,-0.270742675,0.095137239,-0.28568346,0.047487474,-0.035374162,0.878327755
bap,22.73005084,0.008416715,0.032091318,-1.06867991,0.259534245,0.889219259,0.24572831,0.25466609,0.812678601
CG2794,260.526567,0.008434818,0.032145602,0.237051275,0.633209379,0.687115399,0.035103572,-0.06709555,0.903888038
CG3338,413.561977,0.008436885,0.032145602,-0.56049351,0.017643356,-0.156222789,0.586505622,-0.109680924,0.732268815
Drice,398.5476455,0.008464428,0.032239205,0.20295533,0.660007997,0.558132058,0.067316609,0.69097543,0.019608942
CR45242,19.87342067,0.00852684,0.03246551,0.13713216,0.921823134,-1.66451821,0.037519532,-1.011987417,0.256810835
Rdh,151.6377685,0.008540382,0.032494234,-0.735949782,0.157142745,-1.033783006,0.018002791,-0.218942013,0.728668486
RpS10b,10124.84229,0.008538552,0.032494234,0.303263935,0.299269723,0.370363469,0.130599551,-0.145695709,0.640907321
Npc1b,34.96960604,0.008544106,0.032496994,-4.005935829,0.328713465,3.76601582,0.225661645,4.664089637,0.120616217
thoc7,312.0266889,0.008556528,0.032532819,0.080032153,0.840541096,-0.212250159,0.439127102,-0.480916049,0.041776944
Dhc93AB,70.88979953,0.008568246,0.032565945,-2.810370785,0.084693647,-3.396290768,0.017621116,-0.918096667,0.633402112
CG2065,65.80104491,0.008571828,0.032568136,-0.280185468,0.685302884,-0.654974142,0.176646166,-1.137565634,0.012783841
Rab14,2242.625239,0.00857754,0.032578416,0.0131733,0.974053543,-0.239394437,0.281838926,-0.424507114,0.032030243
CG31909,7.103168987,0.00859147,0.032619889,-0.057692549,0.98461068,-1.674375296,NA,2.07155347,0.169709627
CG33080,1179.932939,0.00861394,0.032693748,-0.160235521,0.716995728,-0.153925968,0.686234543,-0.696050261,0.010789985
haf,439.9453934,0.008628625,0.03273802,-0.82373617,0.016026525,-0.517651602,0.1337043,-0.351067264,0.365037811
FLASH,187.6568046,0.00863518,0.032751421,-0.463003516,0.050298667,-0.309946911,0.174270993,-0.001086924,0.996660475
mRpL37,659.2571468,0.00866583,0.032856169,-0.155780048,0.587027109,-0.20858655,0.360230862,-0.503665148,0.008493698
CG34166,2370.962327,0.008678457,0.03288701,0.796918925,0.404315331,0.452482637,0.634917402,-1.051731104,0.185091307
CG5756,10.79888446,0.008682694,0.03288701,4.095721179,0.018208002,3.796870112,0.01999279,4.186946435,0.009234965
IM23,736.6690833,0.008683069,0.03288701,-0.511250126,0.83318638,0.508631465,0.802428453,2.598147967,0.069278717
CG17660,826.332819,0.008693246,0.032891066,-0.220959993,0.571152399,0.230878574,0.47792705,0.432161564,0.132045172
upSET,5828.250946,0.008687402,0.032891066,-0.183053988,0.570212204,-0.316673514,0.18590987,0.215419273,0.42205417
yuri,483.5714867,0.00869217,0.032891066,1.101131448,0.03706155,1.18407947,0.013002478,0.803270999,0.126477278
CG13384,1805.085344,0.008696926,0.032893504,0.08154282,0.772558859,0.177148104,0.380932581,0.41371243,0.013735403
CG3014,32.97872869,0.008711126,0.032935714,-0.011894633,0.992751977,1.27742936,0.032746652,0.855329595,0.213910608
Arc42,682.7414299,0.008751819,0.033043454,0.410199944,0.189940783,0.24019351,0.450491232,-0.233849001,0.481528676
CG10011,2608.07139,0.008751636,0.033043454,-0.404829303,0.241919474,-0.530331763,0.065354509,0.076550812,0.862508856
CG6503,10162.04812,0.008749882,0.033043454,1.034346589,0.149742729,0.502515423,0.510202725,-0.473321109,0.548588622
yellow-f,164.8088925,0.008744264,0.033043454,0.500818031,0.498834159,1.151352721,0.026129619,1.170256269,0.024600043
CG4936,345.7949694,0.008757267,0.033052507,-0.081273043,0.803759451,-0.001737714,0.995028749,-0.453536405,0.020822497
CG31125,114.6415283,0.008761337,0.033056355,-0.586868081,0.200138702,-0.627535117,0.116897189,-0.949559797,0.01309881
CG14894,376.117021,0.008769011,0.033073793,0.2411999,0.46867324,0.114317264,0.736710546,-0.374891536,0.163791646
Mer,539.3121487,0.008812748,0.033215632,0.138078617,0.608092796,0.387001467,0.029139681,-0.023099739,0.9402788
snoRNA:Psi28S-1175c,108.2547875,0.008810216,0.033215632,-1.71044315,0.024529938,-1.29901584,0.075415778,-0.754667405,0.372726913
CG7510,2695.223057,0.008833109,0.033280797,-0.197734988,0.521886447,0.254592867,0.302012219,0.290047612,0.234512445
mre11,201.0832439,0.008844792,0.033313231,-0.433316198,0.284791062,0.339059556,0.35924637,0.269441264,0.501125243
mus301,40.18811442,0.008855243,0.033341007,-1.40828832,0.040833392,0.076415873,0.93809444,0.03145009,0.976089458
CG3328,3399.362508,0.008894799,0.033466683,0.051372335,0.912954732,0.541124384,0.028578277,0.051923206,0.89941142
dpa,150.7060065,0.008893274,0.033466683,-0.664841293,0.180965888,0.352492923,0.481218745,0.260501654,0.638322645
CG9391,1169.94204,0.00896131,0.033705226,0.263206404,0.493735569,0.40926193,0.16529267,-0.249546987,0.466913986
Dgkepsilon,949.9564949,0.008981736,0.03377033,-0.341074049,0.254292596,0.066414748,0.861318884,-0.460405375,0.067489976
CG14997,405.5534787,0.009004256,0.033831524,0.277802151,0.350405517,0.571678625,0.009824404,0.189213716,0.519060035
CG8726,2318.114994,0.009002831,0.033831524,-0.191992473,0.342652305,-0.315699135,0.045872183,0.037937563,0.881984703
CG41128,694.882514,0.009007525,0.033832076,0.26597762,0.468357924,-0.210812022,0.526095918,-0.384028106,0.196598432
Ipod,18.14202617,0.009029906,0.033904387,1.377608519,0.178900217,2.180001777,0.007247145,1.569313463,0.082801446
