"Table S1 List of all DE genes in all pairwise age comparisons, as well as in the main LRT. In the pairwise tests, only genes that were also significant in the LRT were kept. In all tests, q-values represent FDR-corrected p-values.",,,,,,,,,
,,,,,,,,,
,,LRT,,20d vs. 5d,,30d vs. 5d,,40d vs. 5d,
Gene,Mean,p-value,q-value,log2 FC,q-value,log2 FC,q-value,log2 FC,q-value
RpS29,19388.69065,1.12E-10,9.91E-09,0.781023835,6.82E-05,0.428809962,0.039319732,-0.2242793,0.362066174
CG31808,4850.537523,1.17E-10,1.02E-08,-0.456241215,0.002669992,-0.795703261,1.88E-09,-0.454918574,0.001392195
CG14688,635.2294313,1.31E-10,1.14E-08,-0.401255283,0.279220342,-0.616938932,0.038515667,-1.614718771,2.72E-10
CG18135,16444.04846,1.34E-10,1.15E-08,1.427207064,5.19E-05,1.707646152,2.60E-07,0.368288214,0.416829084
drd,508.5216328,1.54E-10,1.32E-08,-0.718531766,0.00031229,-0.920546343,5.61E-07,-0.864595891,2.32E-06
CG13375,1390.487508,1.75E-10,1.46E-08,-0.492825981,0.050828053,-0.819439004,0.000110729,0.298678008,0.252275461
Evi5,2315.04056,1.74E-10,1.46E-08,-0.371017203,0.084833804,-0.601777527,0.000801648,0.331230104,0.101037677
arm,7884.266747,1.75E-10,1.46E-08,-0.549498295,1.81E-07,-0.42875655,6.01E-05,-0.454150919,1.13E-05
cnc,6147.699425,2.09E-10,1.73E-08,0.5462384,3.64E-05,0.574757252,5.45E-06,0.694771498,6.77E-09
CG42361,547.0150646,2.17E-10,1.78E-08,-0.822272768,0.001578223,-0.998253847,3.33E-05,-1.260918989,3.69E-08
Eip93F,8384.694196,2.81E-10,2.26E-08,0.612704494,0.000941906,0.312464397,0.114897583,0.937414657,5.88E-09
Pur-alpha,3607.652471,2.82E-10,2.26E-08,-0.378447534,0.066149952,-0.826487681,5.56E-07,0.043906079,0.884651892
RpL23,12567.28622,2.79E-10,2.26E-08,0.220175471,0.315083913,0.178394943,0.38053006,-0.604748659,0.000106525
Dhit,1207.003914,2.87E-10,2.29E-08,-0.642883178,0.010705369,-0.995235236,6.40E-06,0.117131895,0.736288116
Snap25,5347.064376,2.92E-10,2.31E-08,-0.446000671,0.094912727,-1.026703227,1.07E-06,0.11143629,0.740813111
CG16743,2436.052132,3.42E-10,2.69E-08,0.619865509,0.00573777,0.425876273,0.058213068,-0.461223041,0.041046542
Tsp42Ej,2192.784027,3.55E-10,2.77E-08,-0.790016727,0.012300171,-1.052956327,0.000179519,-1.509394369,7.38E-09
RpS18,17802.51593,3.83E-10,2.96E-08,0.160889537,0.5392887,0.387227104,0.033119694,-0.541129792,0.001493029
Ephrin,2313.512183,4.28E-10,3.29E-08,-0.038331051,0.91070509,-0.198793959,0.350435151,0.645162004,8.32E-05
CG5282,971.7043118,4.65E-10,3.53E-08,-0.764992643,0.002471457,-1.042106968,5.39E-06,-1.129076822,3.43E-07
snoRNA:Psi18S-1377d,295.945403,4.66E-10,3.53E-08,0.851236879,0.001497453,1.111685823,4.50E-06,1.354088015,3.98E-09
CG6024,1862.49367,4.76E-10,3.58E-08,-0.779661671,0.001904375,-0.936588523,5.43E-05,0.123607415,0.73246179
CG4168,869.0164276,4.82E-10,3.60E-08,-0.829916725,0.000148673,-1.05579256,2.10E-07,-0.319710295,0.208099816
Gug,3818.692731,5.14E-10,3.81E-08,-0.30902359,0.096229059,-0.208932373,0.255105566,0.450025151,0.003776785
RpL5,33840.66376,5.57E-10,4.10E-08,0.353908401,0.203978252,0.084881473,0.804356241,-0.827291664,7.85E-05
CG11099,1228.108697,5.87E-10,4.29E-08,-0.883040275,0.000132494,-1.004478372,3.78E-06,-0.980120701,4.20E-06
TotC,1165.543407,6.53E-10,4.75E-08,6.620706618,5.14E-11,7.16338687,3.20E-13,4.523404588,1.04E-05
RpL29,7260.865392,7.39E-10,5.34E-08,0.546653013,0.003444012,0.512291129,0.004076509,-0.25291666,0.229339187
CG1673,2372.951951,7.52E-10,5.37E-08,2.301137106,5.48E-07,2.594413778,3.90E-09,2.426748884,2.05E-08
CG40002,320.8026472,7.53E-10,5.37E-08,0.086071349,0.868763686,-0.365186055,0.264287685,-1.368456879,1.48E-07
CG11413,91.39730999,7.77E-10,5.48E-08,-0.82230735,0.017051999,-1.44153806,1.88E-06,-1.38481111,5.14E-06
CG5953,880.7836974,7.83E-10,5.48E-08,1.473196598,2.34E-06,1.447595764,2.06E-06,1.677972187,7.93E-09
Hrb27C,16129.77562,7.80E-10,5.48E-08,0.293056067,0.052740857,0.043449729,0.836918727,0.614360202,2.64E-07
Eip71CD,1716.726058,8.20E-10,5.70E-08,0.192468989,0.736952857,-0.686627554,0.059320669,-1.540095608,9.45E-07
RpL35,13104.73926,8.27E-10,5.71E-08,0.733401859,0.000189297,0.711948711,0.000165266,-0.03477204,0.921369946
CoVIII,1494.688894,8.46E-10,5.80E-08,-0.352628332,0.137529716,-0.44983508,0.026451918,-1.051858934,2.03E-09
shi,10004.53601,8.53E-10,5.82E-08,-0.776449954,0.000168253,-0.96556936,4.47E-07,-0.267197841,0.279226937
CG7763,95.23959512,8.61E-10,5.83E-08,3.786495299,4.26E-05,5.26613529,3.81E-10,5.146181196,4.07E-10
Orct,1369.864156,8.90E-10,5.99E-08,-0.093473592,0.758761873,0.393131225,0.033850978,-0.564496077,0.001341331
CG1942,138.9905859,8.98E-10,6.01E-08,1.806036834,0.188456515,3.309829323,0.002188394,5.731560274,2.89E-09
stai,3605.450857,9.32E-10,6.19E-08,-0.433925554,0.013516947,-0.747242976,6.84E-07,-0.032194448,0.909002838
CG11892,176.0265509,9.56E-10,6.32E-08,-0.807502026,0.064914672,-1.368284778,0.000187512,-1.935020578,3.61E-08
ATPsyn-d,3855.777539,1.05E-09,6.83E-08,-0.475647683,0.090523234,-0.355892429,0.188404441,-1.268874071,2.35E-09
CG5510,678.1375881,1.06E-09,6.83E-08,0.55504759,0.000945442,0.473664657,0.003683271,-0.194057935,0.348997089
Sap-r,17292.9954,1.05E-09,6.83E-08,0.421834483,0.03165037,0.830353645,3.36E-07,0.788942151,7.63E-07
TotA,2651.783243,1.06E-09,6.83E-08,5.068164571,1.63E-09,5.562110086,1.33E-11,3.551596694,3.20E-05
Scgbeta,529.6186995,1.12E-09,7.19E-08,-0.849050249,0.003152136,-0.845711361,0.001824421,-1.41825956,1.23E-08
RpL36,10551.3362,1.15E-09,7.31E-08,-0.465121023,0.055750393,0.278470938,0.261855469,-0.739348336,0.000245663
Ance-3,900.1204872,1.28E-09,8.14E-08,1.811015708,5.63E-05,1.460701838,0.001117551,2.488430964,6.16E-10
Cchl,1104.118666,1.34E-09,8.40E-08,-0.491504165,0.005057147,-0.531907229,0.001124872,-0.857012485,1.15E-08
sls,1981.193304,1.34E-09,8.40E-08,0.276111548,0.759893489,-0.032361174,0.972946628,2.154310435,1.05E-05
CG31320,225.7597437,1.38E-09,8.62E-08,0.487750546,0.130389083,0.328468168,0.30137655,1.292223369,3.87E-08
CG8993,930.2476351,1.42E-09,8.82E-08,-0.105426479,0.705042718,-0.105492788,0.657553135,-0.841504437,6.25E-08
CG9471,647.1577731,1.48E-09,9.09E-08,0.258198601,0.331744271,-0.12946372,0.641590185,-0.807929735,2.18E-05
CG30415,2996.980062,1.55E-09,9.50E-08,0.10762143,0.769093294,-0.262271832,0.303914927,-0.955864128,9.94E-07
sun,1800.119662,1.57E-09,9.58E-08,-0.082327761,0.800700411,-0.388607666,0.046225682,-0.908595893,6.38E-08
CG6020,3185.576142,1.60E-09,9.70E-08,-0.471529263,0.000366332,-0.195987621,0.186537112,-0.628604675,1.13E-07
Tpi,5167.359193,1.67E-09,1.01E-07,-0.190520816,0.442238264,-0.196840811,0.357233517,-0.885580955,1.62E-08
Nplp4,145.1343822,1.68E-09,1.01E-07,1.223422686,7.64E-05,0.812656686,0.011136538,-0.248324069,0.585334845
CG13067,174.3178004,1.73E-09,1.03E-07,-1.377797094,0.016640757,-1.642206597,0.001593137,-2.754548801,1.42E-08
CG10219,1293.422281,1.79E-09,1.06E-07,-0.342862901,0.116668209,-0.508672399,0.005320599,-0.949139967,7.06E-09
Patsas,441.9956777,1.82E-09,1.07E-07,-0.983363849,3.15E-06,-0.901633465,1.30E-05,-0.703759678,0.00099001
CG45050,8717.459088,1.96E-09,1.14E-07,0.380006946,0.002458005,-0.010458356,0.961798448,0.485180146,1.45E-05
orb2,3493.839506,1.96E-09,1.14E-07,-0.201730237,0.671757779,-0.626851328,0.042849929,0.827471247,0.004853347
CG32850,776.7795055,1.97E-09,1.14E-07,0.413913652,0.083159353,0.009272039,0.978728878,0.898120903,1.23E-06
Imp,2032.747104,2.02E-09,1.16E-07,0.611299209,0.003558713,0.379764601,0.077807535,1.015423661,1.34E-08
iPLA2-VIA,2014.181428,2.08E-09,1.19E-07,0.164153972,0.595159024,0.720276707,0.00017606,0.881737139,1.27E-06
Sxl,7096.518485,2.13E-09,1.22E-07,0.477251671,0.038786849,0.131900527,0.643134938,0.951740603,2.47E-07
CG17264,278.0997711,2.20E-09,1.25E-07,3.99274989,2.46E-06,4.732035105,4.06E-09,5.310287508,6.55E-12
