treat,treat_no,sub,no,death_date,time,exclude,censor,censor2,censor3,source_pop,eclosion_date,Experiment_date,age,exp_age,tot_eggs,tot_offspring,viability,avg_eggs,avg_offspring,random,m.off.tot,m.age,m.off.avg,m.egg.tot,m.egg.avg,eggs_7d,off_7d,thorax,wing
100% SYA,2,L,54,27/07/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,66,62,654,547,0.836391437,9.91,8.29,tc,222,7,31.71,265,37.86,78,65,0.99,1.54
120% SYA,3,L,55,27/07/2018,am,n,1,0,1,3,22/05/2018,26/05/2018,66,62,602,509,0.84551495,9.12,7.71,ta,158,7,22.57,185,26.43,122,107,1.04,NA
20% SYA,1,L,56,12/08/2018,am,n,1,0,1,1,21/05/2018,26/05/2018,83,78,375,300,0.8,4.52,3.61,tc,115,9,12.78,141,15.67,46,30,NA,NA
120% SYA,3,L,57,15/08/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,85,81,421,337,0.800475059,4.95,3.96,ta,140,9,15.56,184,20.44,43,30,1.04,1.53
20% SYA,1,L,58,02/08/2018,am,n,1,0,1,2,21/05/2018,26/05/2018,73,68,449,401,0.893095768,6.15,5.49,tb,124,8,15.5,142,17.75,81,75,0.97,1.405
120% SYA,3,L,59,17/06/2018,pm,n,1,1,0,3,22/05/2018,26/05/2018,26,22,240,197,0.820833333,9.23,7.58,tb,35,2,17.5,38,19,124,96,1.005,1.54
100% SYA,2,L,60,30/07/2018,am,n,1,0,1,2,22/05/2018,26/05/2018,69,65,469,380,0.810234542,6.8,5.51,tc,138,7,19.71,156,22.29,79,70,1.075,NA
20% SYA,1,L,61,30/07/2018,pm,n,1,0,1,3,21/05/2018,26/05/2018,70,65,290,275,0.948275862,4.14,3.93,ta,108,7,15.43,105,15,49,43,0.915,NA
20% SYA,1,L,62,30/07/2018,am,n,1,0,1,1,21/05/2018,26/05/2018,70,65,384,309,0.8046875,5.49,4.41,tb,108,7,15.43,126,18,57,51,0.955,1.43
20% SYA,1,L,63,30/07/2018,am,n,1,0,1,1,21/05/2018,26/05/2018,70,65,447,379,0.84787472,6.39,5.41,tc,142,7,20.29,159,22.71,61,52,1.005,NA
20% SYA,1,L,64,06/08/2018,am,n,1,0,1,1,21/05/2018,26/05/2018,77,72,546,473,0.866300366,7.09,6.14,ta,148,8,18.5,157,19.63,84,72,0.995,1.495
120% SYA,3,L,65,22/07/2018,pm,n,1,0,1,1,22/05/2018,26/05/2018,61,57,358,243,0.67877095,5.87,3.98,tb,86,6,14.33,109,18.17,40,35,1.01,1.535
100% SYA,2,L,66,29/05/2018,am,n,1,1,0,1,22/05/2018,26/05/2018,7,3,9,9,1,1.29,1.29,tb,0,0,NA,0,NA,9,9,1.04,1.565
20% SYA,1,L,67,27/07/2018,am,n,1,0,1,3,21/05/2018,26/05/2018,67,62,389,335,0.861182519,5.81,5,ta,101,7,14.43,136,19.43,62,64,0.93,1.45
100% SYA,2,L,68,27/07/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,66,62,278,191,0.68705036,4.21,2.89,tc,73,7,10.43,107,15.29,10,7,1.08,NA
120% SYA,3,L,69,29/07/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,68,64,416,364,0.875,6.12,5.35,tb,117,7,16.71,127,18.14,90,89,1.06,1.53
120% SYA,3,L,70,22/07/2018,am,n,1,0,1,2,22/05/2018,26/05/2018,61,57,521,472,0.905950096,8.54,7.74,tb,122,6,20.33,127,21.17,125,108,1.07,NA
100% SYA,2,L,71,30/05/2018,am,n,1,1,0,2,22/05/2018,26/05/2018,8,4,2,2,1,0.25,0.25,ta,0,0,NA,0,NA,2,2,1.07,1.49
120% SYA,3,L,72,18/08/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,88,84,463,374,0.807775378,5.26,4.25,tb,111,10,11.1,130,13,93,79,1.015,1.5
120% SYA,3,L,73,05/06/2018,am,n,1,1,0,2,22/05/2018,26/05/2018,14,10,135,118,0.874074074,9.64,8.43,tc,0,0,NA,0,NA,135,118,1.055,1.53
